Node,degree,closeness,betwennes,influence
BrighamYoung,0.1052631578947368,0.4237918215613382,0.0324899491838948,1
FloridaState,0.1052631578947368,0.4130434782608695,0.0176211126800952,1
Iowa,0.1052631578947368,0.4071428571428571,0.013122497053431,0
KansasState,0.1052631578947368,0.4206642066420664,0.0230700988568456,1
NewMexico,0.0964912280701754,0.4028268551236749,0.010663869449409,0
TexasTech,0.1052631578947368,0.3838383838383838,0.0106609820826135,0
PennState,0.1052631578947368,0.4253731343283582,0.0196812843689588,1
SouthernCalifornia,0.1052631578947368,0.4014084507042254,0.0145630359790916,0
ArizonaState,0.0964912280701754,0.360759493670886,0.0050086489316693,0
SanDiegoState,0.0964912280701754,0.397212543554007,0.0118311508598504,0
Baylor,0.087719298245614,0.3812709030100334,0.0069079914855901,0
NorthTexas,0.087719298245614,0.4028268551236749,0.0114003485203915,0
NorthernIllinois,0.087719298245614,0.3904109589041096,0.0101441337839872,0
Northwestern,0.0964912280701754,0.4206642066420664,0.0172913634299546,1
WesternMichigan,0.087719298245614,0.3851351351351351,0.0070744478578155,0
Wisconsin,0.1052631578947368,0.4237918215613382,0.020895265847707,1
Wyoming,0.0964912280701754,0.4237918215613382,0.0222134474275601,1
Auburn,0.0964912280701754,0.4115523465703971,0.0166019966039093,1
Akron,0.0964912280701754,0.38,0.0084929461160244,0
VirginiaTech,0.0964912280701754,0.3904109589041096,0.0097593127357717,0
Alabama,0.0964912280701754,0.4028268551236749,0.023046321730608,1
UCLA,0.0964912280701754,0.397212543554007,0.0221268071764148,1
Arizona,0.0964912280701754,0.3677419354838709,0.0067325258040067,0
Utah,0.0964912280701754,0.3851351351351351,0.0075893356814986,0
ArkansasState,0.087719298245614,0.4237918215613382,0.0207002246315868,1
NorthCarolinaState,0.0964912280701754,0.4130434782608695,0.0177832724286933,1
BallState,0.087719298245614,0.3986013986013986,0.0170033699866797,1
Florida,0.0964912280701754,0.3825503355704698,0.0106602612652284,0
BoiseState,0.0789473684210526,0.4086021505376344,0.0181720582735932,1
BostonCollege,0.0964912280701754,0.4,0.0090287168236836,0
WestVirginia,0.0964912280701754,0.4100719424460431,0.0150866410563543,0
BowlingGreenState,0.0964912280701754,0.3787375415282392,0.0084175626700774,0
Michigan,0.0964912280701754,0.4100719424460431,0.0148768545600961,0
Virginia,0.087719298245614,0.3877551020408163,0.0073542984820076,0
Buffalo,0.0964912280701754,0.3762376237623762,0.0080259249766283,0
Syracuse,0.0964912280701754,0.397212543554007,0.0154755519228233,1
CentralFlorida,0.0701754385964912,0.4014084507042254,0.0132060247705726,0
GeorgiaTech,0.0964912280701754,0.3944636678200692,0.009130695528918,0
CentralMichigan,0.0964912280701754,0.4042553191489361,0.0251868019708688,1
Purdue,0.0964912280701754,0.4071428571428571,0.0107035774586063,0
Colorado,0.0964912280701754,0.3986013986013986,0.0139826819929176,0
ColoradoState,0.087719298245614,0.3958333333333333,0.0064385590608545,0
Connecticut,0.0614035087719298,0.3701298701298701,0.0077895046945918,0
EasternMichigan,0.0964912280701754,0.3958333333333333,0.0135954449132985,0
EastCarolina,0.0964912280701754,0.4,0.0143724515285389,0
Duke,0.0964912280701754,0.397212543554007,0.0114431773055953,0
FresnoState,0.0964912280701754,0.3931034482758621,0.0103526526863307,0
OhioState,0.0964912280701754,0.4056939501779359,0.0151023307860051,0
Houston,0.0964912280701754,0.4100719424460431,0.0177894511765102,1
Rice,0.0964912280701754,0.4042553191489361,0.0097847734334803,0
Idaho,0.0789473684210526,0.3986013986013986,0.0143720270350049,0
Washington,0.0964912280701754,0.3944636678200692,0.0149045533358999,0
Kansas,0.087719298245614,0.397212543554007,0.0098513526980104,0
SouthernMethodist,0.1052631578947368,0.4115523465703971,0.0165608906571736,1
Kent,0.087719298245614,0.3737704918032787,0.0039059842191249,0
Pittsburgh,0.0964912280701754,0.3931034482758621,0.0117340007375862,0
Kentucky,0.087719298245614,0.3812709030100334,0.009539783889116,0
Louisville,0.087719298245614,0.397212543554007,0.0103799764829425,0
